,index,media_id,img_url,alt_text
0,5,3_1534252046613983233,https://pbs.twimg.com/media/FUrCG4pXsAEj7Z7.jpg,"The Second Gentleman Douglas Emhoff visits a museum exhibit, the title of it is ""Meet Q The First Genderless Voice."""
1,6,3_1534251146516344834,https://pbs.twimg.com/media/FUrBSfhXsAIVppP.jpg,Two figures stand in a rotunda of a museum in front of a brightly lit sculpture. The sculpture is round with a tall central pillar displaying light and colors.
2,7,3_1534250970728865792,https://pbs.twimg.com/media/FUrBIQqXoAAYktF.jpg,"The Second Gentleman Douglas Emhoff takes a tour of the Arts + Industries Building, a flying car prototype is in the background along with museum visitors. "
3,8,3_1530588329866952704,https://pbs.twimg.com/media/FT29-gMUAAAC7tE.png,"Film still from the movie ""The Longshots"" featuring Ice Cube as a coach standing on the sidelines with football players."
4,9,3_1530557466504740865,https://pbs.twimg.com/media/FT2h6BNWQAE_DgX.jpg,View of the National Mall with the Washington Monument in the distance on a sunny day. Games are visible on the grass along with an inflatable bouncy castle with a football theme.
5,10,3_1517536096191582208,https://pbs.twimg.com/media/FQ9fCgtVEAAXVPy.jpg,Graphic poster featuring an image of planet Earth floating inside a room with stripes on the floor. Text Give Earth a Chance.
6,11,3_1509873398045945859,https://pbs.twimg.com/media/FPQl2xpXMAMotRW.jpg,"A woman stands in front of a museum display which features a large round circle with a textured, sparkly surface."
7,12,3_1508896053692669966,https://pbs.twimg.com/media/FPCs92NXIA4KLYy.jpg,"Aerial view of a museum exhibit with a crowd of visitors. Displays include experiments and prototypes, including an industrial robot arm and an agriculture robot rover with wheels. "
8,13,3_1508795982812700683,https://pbs.twimg.com/media/FPBR89IWYAsaDsz.jpg,Graphic with a text block on the left and photo on the right. Photo is of a woman in a head scarf standing next to a 3d-printed life-size statue of herself. Text block reads Wikipedia Edit-a-thon: Increasing the Representation of Women in STEM. Text block includes multiple Smithsonian logos for various iniatives.
9,14,3_1505998224535949316,https://pbs.twimg.com/media/FOZhZ_XVkAQDnLJ.jpg,"View of the Arts + Industries Building, a decorated red brick museum, with an external display of life-size statues. "
10,15,3_1505565196160544774,https://pbs.twimg.com/media/FOTXka9XMAYavwg.jpg,Screenshot from an artwork in an app that displays falling cherry blossoms in front of the US Capitol.
11,16,3_1492152799701962759,https://pbs.twimg.com/media/FLUxEMjXEAc2As5.jpg,"View of a group of orange portrait statues of women inside a museum exhibit, with a selection of their human counterparts standing next to them."
12,17,3_1492151679617277953,https://pbs.twimg.com/media/FLUwC_6XIAEYlr0.jpg,"View of a group of orange portrait statues of women outside on a lawn, with a selection of their human counterparts standing next to them, on a bright sunny day."
13,18,3_1489355727542145033,https://pbs.twimg.com/media/FKtBJKxX0AkOQY0.jpg,"A hand drips water onto a green plant in cracked earth, landscape blurred in the background."
14,19,3_1487152237558349824,https://pbs.twimg.com/media/FKNtFK6XwAAj1XG.jpg,Visitors walking through a museum exhibition of scientific displays.
